A0,B0,A1,B1,A2,B2,Cin0,S0,S1,S2,Cout2
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,1,1,1,0,1,0
0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,1,0,1,1,0,1,0
0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,1,1,1,1,0,0,1
0,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,1,1,1,0,0
0,0,0,1,0,1,0,0,1,1,0
0,0,0,1,0,1,1,1,1,1,0
0,0,0,1,1,0,0,0,1,1,0
0,0,0,1,1,0,1,1,1,1,0
0,0,0,1,1,1,0,0,1,0,1
0,0,0,1,1,1,1,1,1,0,1
0,0,1,0,0,0,0,0,1,0,0
0,0,1,0,0,0,1,1,1,0,0
0,0,1,0,0,1,0,0,1,1,0
0,0,1,0,0,1,1,1,1,1,0
0,0,1,0,1,0,0,0,1,1,0
0,0,1,0,1,0,1,1,1,1,0
0,0,1,0,1,1,0,0,1,0,1
0,0,1,0,1,1,1,1,1,0,1
0,0,1,1,0,0,0,0,0,1,0
0,0,1,1,0,0,1,1,0,1,0
0,0,1,1,0,1,0,0,0,0,1
0,0,1,1,0,1,1,1,0,0,1
0,0,1,1,1,0,0,0,0,0,1
0,0,1,1,1,0,1,1,0,0,1
0,0,1,1,1,1,0,0,0,1,1
0,0,1,1,1,1,1,1,0,1,1
0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,0,1,0,0
0,1,0,0,0,1,0,1,0,1,0
0,1,0,0,0,1,1,0,1,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,1,0,1,1,0
0,1,0,0,1,1,0,1,0,0,1
0,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,0,0,1,1,0,0
0,1,0,1,0,0,1,0,0,1,0
0,1,0,1,0,1,0,1,1,1,0
0,1,0,1,0,1,1,0,0,0,1
0,1,0,1,1,0,0,1,1,1,0
0,1,0,1,1,0,1,0,0,0,1
0,1,0,1,1,1,0,1,1,0,1
0,1,0,1,1,1,1,0,0,1,1
0,1,1,0,0,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,0
0,1,1,0,0,1,0,1,1,1,0
0,1,1,0,0,1,1,0,0,0,1
0,1,1,0,1,0,0,1,1,1,0
0,1,1,0,1,0,1,0,0,0,1
0,1,1,0,1,1,0,1,1,0,1
0,1,1,0,1,1,1,0,0,1,1
0,1,1,1,0,0,0,1,0,1,0
0,1,1,1,0,0,1,0,1,1,0
0,1,1,1,0,1,0,1,0,0,1
0,1,1,1,0,1,1,0,1,0,1
0,1,1,1,1,0,0,1,0,0,1
0,1,1,1,1,0,1,0,1,0,1
0,1,1,1,1,1,0,1,0,1,1
0,1,1,1,1,1,1,0,1,1,1
1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,1,0,1,1,0
1,0,0,0,1,0,0,1,0,1,0
1,0,0,0,1,0,1,0,1,1,0
1,0,0,0,1,1,0,1,0,0,1
1,0,0,0,1,1,1,0,1,0,1
1,0,0,1,0,0,0,1,1,0,0
1,0,0,1,0,0,1,0,0,1,0
1,0,0,1,0,1,0,1,1,1,0
1,0,0,1,0,1,1,0,0,0,1
1,0,0,1,1,0,0,1,1,1,0
1,0,0,1,1,0,1,0,0,0,1
1,0,0,1,1,1,0,1,1,0,1
1,0,0,1,1,1,1,0,0,1,1
1,0,1,0,0,0,0,1,1,0,0
1,0,1,0,0,0,1,0,0,1,0
1,0,1,0,0,1,0,1,1,1,0
1,0,1,0,0,1,1,0,0,0,1
1,0,1,0,1,0,0,1,1,1,0
1,0,1,0,1,0,1,0,0,0,1
1,0,1,0,1,1,0,1,1,0,1
